"ID","text","Requirement","target","nature","interpretability","[Motivation for ambiguity]","reference","Logic rule","Comments"
"K72165","Tillåten vindavdrift ska väljas utifrån vilken eller vilka bredder av strömavtagare som anläggningen ska dimensioneras för.","Permitted wind drift should be selected based on which pantograph width(s) the system is to be dimensioned for.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K8739","Panelkort ska vara enligt {SS 455 12 01 T1 Dokumentation av teletekniska anläggningar}.","Panel cards must be in accordance with {SS 455 12 01 T1 Documentation of telecommunications installations}.","Product","Qualitative","Non-ambiguous",,"External",,
"K31361","Utrymningsskylt ISO 7010-E001 och ISO 7010-E002 ska ha dimension 200x200 mm.","Evacuation signs ISO 7010-E001 and ISO 7010-E002 must have dimensions of 200x200 mm.","Product","Quantitative","Non-ambiguous",,"External",,
"K37392","Räler som ska sändas till Rälsverkstaden i Sannahed för revidering med rälsverkstadens utrustning får inte överstiga 60 m.","Rails to be sent to the Rail Workshop in Sannahed for revision with the rail workshop's equipment must not exceed 60 m.","Process","Quantitative","Non-ambiguous",,"No reference",,
"K9539","Beställarens provningsansvarige ska utfärda intyg om genomfört provningssteg efter avslutad provning som Beställaren ansvarar för.","The Client's testing manager shall issue a certificate of completion of the testing step after completion of the testing for which the Client is responsible.","Documentation","Qualitative","Non-ambiguous",,"No reference",,
"K161368","Kontrollåsnyckeln ska utgöra en kvittens på att det tillhörande objektet intar rätt läge och att förändring av läget är förhindrad så länge kontrollåsnyckeln inte används.","The control lock key shall constitute a confirmation that the associated object is in the correct position and that changes to the position are prevented as long as the control lock key is not used.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K126087","I de fall det finns en Z-förbindning på platsen för anslutningen av upptag och eventuell matning ska anslutningen av de senare vara flyttade en sliper bort från isolerskarven.","In cases where there is a Z-connection at the location of the connection of the intake and any supply, the connection of the latter must be moved one sleeper away from the insulation joint.","Product","Mixed","Non-ambiguous",,"No reference",,
"K72733","Omriktare ska ha beteckningen OMR och ett löpnummer och utförandet enligt Figur 12.","Inverters shall have the designation OMR and a serial number and the design according to Figure 12.","Product","Qualitative","Non-ambiguous",,"Local",,
"K35200","Med växeltungor i öppet läge, ska stödrälen slipas över hela den definierade målprofilen.","With the switch tongues in the open position, the support rail should be ground over the entire defined target profile.","Product","Qualitative","Non-ambiguous","Not so clear what this means, could also be ambiguous due to that.","No reference",,
"K34379","Lyftbord ,i kontrollgrop vid trafikkontrollplats, ska vara levererad med tre (3) st.","Lift tables, in the inspection pit at the traffic control point, shall be supplied with three (3) pieces.","Product","Quantitative","Ambiguous (artificial)","Not clear what 3 refers to. What needs to be delivered 3 times?","No reference",,
"K7313","Vid kopplingsställe ska jordtagsledare vara försedd med märkskylt.","At the connection point, the earthing conductor must be provided with a nameplate.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K13262","Apparatskåp i fuktig miljö ska vara konstruerade så att kondens i apparatskåp motverkas.","Equipment cabinets in humid environments must be designed to prevent condensation in equipment cabinets.","Product","Qualitative","Ambiguous (natural)","Solution for how to present condensation is open.","No reference",,
"K30169","Inom ej streckade delar av normalsektion för fria rummet får inte förekomma annat än lastkaj, spärrstaket, rangerbroms och portöppning, se särskilda regler i kapitel 6.","Within non-hatched parts of the normal section for free space, there may be nothing other than loading docks, barrier fences, shunting brakes and gate openings, see special rules in Chapter 6.","Product","Qualitative","Non-ambiguous",,"Local",,
"K80853","Omslutningsytan ska ge ett skydd mot inbrott och försvåra bortförande av stöldgods för verksamheter med större mängd stöldbegärlig egendom/tillgångar eller annat skyddsvärde än skyddsklass 1.","The enclosure area should provide protection against burglary and make it more difficult to remove stolen goods for businesses with a larger amount of property/assets that are susceptible to theft or other protection value than protection class 1.","Product","Qualitative","Ambiguous (artificial)","The requirement contains a couple of adjectives that are often associated with ambiguity (more, larger).","No reference",,
"K194990","Ett skyddsräcke på en fast inspektionsanläggning ska dimensioneras för en last enligt SS- EN 1991-2, Eurokod 1: Laster på bärverk  Del 2: Trafiklast på broar, avsnitt 4.","A guardrail on a fixed inspection facility shall be designed for a load according to SS-EN 1991-2, Eurocode 1: Actions on structures  Part 2: Traffic loads on bridges, Section 4.","Product","Qualitative","Non-ambiguous",,"External",,
"K210451","I samband med utsättning av kabel i Trafikverkets kabelanläggningar ska blankett Kabelutsättning användas.","In connection with laying out cables in the Swedish Transport Administration's cable facilities, the ""Cable Laying"" form must be used.","Documentation","Qualitative","Non-ambiguous",,"Internal",,
"K135808","Slitsmur ska utformas och dimensioneras enligt SS-EN 1538 varvid följande ska gälla: · Slitsmur utsatt för böjande moment ska vara armerad.","The shear wall shall be designed and dimensioned according to SS-EN 1538, whereby the following shall apply: · The shear wall exposed to bending moments shall be reinforced.","Product","Qualitative","Non-ambiguous",,"External",,
"K54361","Det ska vara av välkänt fabrikat med alla texter på svenska.","It should be from a well-known brand with all texts in Swedish.","Product","Qualitative","Ambiguous (artificial)","""well-known"" is ambiguous","No reference",,
"K209325","I samband med nybyggnation av Trafikverkets optokabelanläggningar i tunnlar ska fibrerna i lokalkablar avsedda för optisk radiokommunikation anslutas med APC- kontakter till gröna mellanstycken i ODF-enheter.","In connection with the new construction of the Swedish Transport Administration's optical cable facilities in tunnels, the fibers in local cables intended for optical radio communication must be connected with APC connectors to green adapters in ODF units.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K212802","Vågsedelutskrift vid våganläggning ska minst vara format A5.","Weighing slip printouts at weighing facilities must be at least A5 format.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K134526","Bottenplatta på pålar får inte vara undervattensgjuten.","The base plate of piles must not be cast underwater.","Process","Qualitative","Non-ambiguous",,"No reference",,
"K160251","Vid ett spår ska uppehållstavla vara placerad till vänster, alternativt till höger.","At a track, the stop sign should be placed on the left, or alternatively on the right.","Product","Qualitative","Ambiguous (artificial)","There is no description of the reasons that allow the alternative installation.","No reference",,
"K48834","Instruktioner hur man manövrerar den externa Bypassen ska levereras inplastad för uppsättning på väggen.","Instructions on how to operate the external Bypass shall be delivered wrapped in plastic for mounting on the wall.","Product","Qualitative","Ambiguous (artificial)","The formulation gives the impression that plastic wrapping is necessary for mounting the instructions to the wall. Misleading.","No reference",,
"K81779","Säkerhetsskyltning ska vara applicerad runt hela anläggningens områdesskydd med en intervall av var 12:e meter.","Safety signage must be applied around the entire facility's area protection at intervals of every 12 meters.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K34322","På plattformar längre än 135 meter som saknar plattformsskyltar samt på plattformar med plattformsskyltar utan spårnummer ska det finnas spårnummerskyltar med ett inbördes avstånd på 80 ± 10 meter.","On platforms longer than 135 meters that lack platform signs and on platforms with platform signs without track numbers, there must be track number signs spaced 80 ± 10 meters apart.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K50769","Y-lina får inte vara snedställd.","The Y-line must not be slanted.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K43408","Redogörelse ska innehålla redovisning av konstruktionsarbetet avseende förutsättningar, metoder och genomförande.","The report must include an account of the design work regarding conditions, methods and implementation.","Documentation","Qualitative","Non-ambiguous",,"No reference",,
"K159088","Val av klotterskydd ska anpassas efter underlagets material."," The choice of graffiti protection should be adapted to the substrate material.","Product","Qualitative","Ambiguous (natural)",,"No reference",,
"K5109","Leverantörens provningsansvarige ska utfärda intyg om genomfört provningssteg efter avslutad provning som Leverantören ansvarar för."," The Supplier's testing manager shall issue a certificate of completion of the testing step after completion of the testing for which the Supplier is responsible.","Documentation","Qualitative","Non-ambiguous",,"No reference",,
"K124545","Ett permanent lokalfrigivningsområde ska vara avgränsat av en växel eller en spårspärr som utrullningsskydd mot spår där rörelsevägar kan låsas och mot linjen."," A permanent local release area must be delimited by a switch or a track barrier as a roll-out protection against tracks where movement paths can be locked and against the line.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K135690","Räcke ska i brottgränstillstånd dimensioneras för linjelast mot toppföljare ? 1,0 kN/m."," In the ultimate limit state, the railing must be designed for a line load against the top follower ? 1.0 kN/m.","Product","Quantitative","Non-ambiguous",,"No reference",,
"K135118","Dräneringskanal ska anordnas på tätskikts yta."," A drainage channel must be arranged on the surface of the waterproofing layer.","Product","Qualitative","Non-ambiguous",,"No reference",,
"K83493","Skyddsklass 2 enligt SSF 200 gäller för hela anläggningens omslutningsyta."," Protection class 2 according to SSF 200 applies to the entire enclosure of the facility.","Product","Qualitative","Non-ambiguous",,"External",,
"K109737","Egenskaper för samtliga inköpta obundna överbyggnadsmaterial med D ? 90 mm ska vara deklarerade enligt SS-EN 13242 och SS-EN 13285."," Properties for all purchased unbound superstructure materials with D ? 90 mm must be declared according to SS-EN 13242 and SS-EN 13285.","Documentation","Mixed","Non-ambiguous",,"External",,
"K82800","Panelstängsel ska uppfylla kraven enligt SSF 1087, Klass C, Risknivå 2."," Panel fencing must meet the requirements of SSF 1087, Class C, Risk Level 2.","Product","Qualitative","Non-ambiguous",,"External",,
